obec,okres,obyvatel,strana,pct
Šenov u Nového Jičína,Nový Jičín,2086,Česká strana sociálně demokratická,51.9
Hodkovice nad Mohelkou,Liberec,2888,BUDOUCNOST PRO HODKOVICE,51.88
Jiříkov,Děčín,3648,NEZÁVISLÍ KANDIDÁTI MĚSTA JIŘÍKOVA,51.62
Desná,Jablonec nad Nisou,3134,Sdružení pro DESNOU,51.62
Polešovice,Uherské Hradiště,2019,SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ POLEŠOVICE,51.42
Letohrad,Ústí nad Orlicí,6315,Sdružení pro Letohradsko,51.32
Praha-Zbraslav,Hlavní město Praha,9930,100pro Zbraslav,51.17
Strakonice,Strakonice,22888,Strakonická Veřejnost,51.15
Dobřany,Plzeň-jih,6175,",,Aktivní Dobřany""",51.03
Polanka nad Odrou,Ostrava-město,4991,Sdružení nezávislých kandidátů Polanka nad Odrou,50.65
Solnice,Rychnov nad Kněžnou,2194,Sdružení nezávislých kandidátů Solnice,50.53
Třemošnice,Chrudim,3070,SNK Evropští demokraté,50.49
Svatobořice-Mistřín,Hodonín,3548,Sdružení nezávislých kandidátů Svatobořice-Mistřín,50.13
Nová Bystřice,Jindřichův Hradec,3309,Česká strana sociálně demokratická,50.12
Strašice,Rokycany,2534,Občanská demokratická strana,50.08
